Vgene	Vgene1
TRBV1	TCRBV01
TRBV2	TCRBV02
TRBV3	TCRBV03
TRBV4	TCRBV04
TRBV5	TCRBV05
TRBV6	TCRBV06
TRBV7	TCRBV07
TRBV8	TCRBV08
TRBV9	TCRBV09
TRBV10	TCRBV10
TRBV11	TCRBV11
TRBV12-1	TCRBV12-01
TRBV12-2	TCRBV12-02
TRBV12-3	TCRBV12-03
TRBV13-1	TCRBV13-01
TRBV13-2	TCRBV13-02
TRBV13-3	TCRBV13-03
TRBV14	TCRBV14
TRBV15	TCRBV15
TRBV16	TCRBV16
TRBV17	TCRBV17
TRBV18	TCRBV18
TRBV19	TCRBV19
TRBV20	TCRBV20
TRBV21	TCRBV21
TRBV22	TCRBV22
TRBV23	TCRBV23
TRBV24	TCRBV24
TRBV25	TCRBV25
TRBV26	TCRBV26
TRBV27	TCRBV27
TRBV28	TCRBV28
TRBV29	TCRBV29
TRBV30	TCRBV30
TRBV31	TCRBV31
